Practice,SDLC Phases,SDLC Activities,,,,,,,,,,,,,,,
Digital Product Engineering,Requirements & Design Phase:,"AI Used for Requirements Elicitation Analysis (eg., summarizing user stories, identifying gaps)",,,,,,,,,,,,,,,
,,Are Wi-Fi heatmaps or signal issues predicted using AI analytics?,,,,,,,,,,,,,,,
,,Are network topology diagrams auto generated or validated with GenAI?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Event Management,Are link failures or packet drops predicted using AI?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Incident Management,Are network incident alerts prioritized using AI scoring?,,,,,,,,,,,,,,,
,,Is GenAI used to recommend router/switch config fixes?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Problem Management,Are high-churn network issues flagged by pattern detection?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Change Management,Are network config changes analyzed for conflict/risk using AI?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Request Fulfillment,Are port/VLAN/DNS changes routed and validated via AI?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Configuration Management,Are rogue config changes or drifts detected using AI?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Release Management,Are firmware updates evaluated post-deployment by AI tools?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Asset Management,Is device end-of-life projected by AI models?,,,,,,,,,,,,,,,
Infrastructure Support,Core Activities,Are system logs analyzed using AI to predict performance degradation or failures?,,,,,,,,,,,,,,,
,,Does AI recommend VM/server resizing based on resource utilization trends?,,,,,,,,,,,,,,,
,,"Is GenAI leveraged to generate automation scripts (e.g., PowerShell, Bash, SQL, Infrastructure as Code templates like Terraform/CloudFormation) for various operational tasks?",,,,,,,,,,,,,,,
,,"Does AI enable autonomous actions such as automated patch deployment, configuration drift auto-remediation, or condition-based reboots/updates?",,,,,,,,,,,,,,,
,,Is thermal or power efficiency monitored and tuned using AI?,,,,,,,,,,,,,,,
,,Are long-running queries automatically detected and optimized using AI?,,,,,,,,,,,,,,,
,,Is AI used to suggest indexing strategies based on query patterns?,,,,,,,,,,,,,,,
,,Are DB growth and storage trends predicted using AI models?,,,,,,,,,,,,,,,
,,Are backup integrity tests for databases triggered using AI-defined risk zones?,,,,,,,,,,,,,,,
,,Are replication lag or sync issues auto-analyzed and resolved using AI?,,,,,,,,,,,,,,,
,,"Is AI/ML extensively used for anomaly detection and predictive analytics across system, network, database, and storage performance metrics (e.g., CPU, memory, IOPS, latency, log patterns, sensor inputs)?",,,,,,,,,,,,,,,
,,"Are alerts generated, correlated, and prioritized using AI (e.g., based on impact, risk scores, or dynamic baselines)?",,,,,,,,,,,,,,,
,,"Is the incident triage process automated, including AI-assisted severity prediction and escalation decisions?",,,,,,,,,,,,,,,
,,"Are hardware failures predicted using AI-based sensor inputs (CPU temp, PSU, fan)?",,,,,,,,,,,,,,,
,,Are AI recommendations reviewed by humans operators before action?,,,,,,,,,,,,,,,
,,Are AI-powered runbooks or autonomous systems used to resolve known issues with minimal or no human intervention?,,,,,,,,,,,,,,,
,,"Is GenAI used to generate various operational documentation, including shift handover notes, RCA reports, backup configurations, release notes, or system documentation?",,,,,,,,,,,,,,,
,,Is AI assist used in root cause analysis of incidents?,,,,,,,,,,,,,,,
,,Are dashboards auto-built or refined using GenAI prompts?,,,,,,,,,,,,,,,
,,"Are AI insights and feedback from past incidents used to continuously improve operational KPIs (e.g., MTTR, alert fatigue) and future outcomes?",,,,,,,,,,,,,,,
,,"Are AI-driven reports and GenAI summaries used for compliance, trend analysis, threat intelligence, and capacity/resource utilization reporting?",,,,,,,,,,,,,,,
,,Is storage capacity forecasting done using AI-based growth models?,,,,,,,,,,,,,,,
,,Are hot/cold data movements or tiering decisions made by AI?,,,,,,,,,,,,,,,
,,"Is disk health analyzed with predictive failure AI tools (e.g., SMART analysis)?",,,,,,,,,,,,,,,
,,Are deduplication or compression strategies enhanced by AI recommendations?,,,,,,,,,,,,,,,
,,Are abnormal IOPS or throughput patterns flagged and explained by GenAI?,,,,,,,,,,,,,,,
,,Is backup job success/failure pattern analyzed using AI?,,,,,,,,,,,,,,,
,,Are missed or partial backups auto-retried based on AI-defined logic?,,,,,,,,,,,,,,,
,,Are restore tests automatically scheduled based on AI scoring of critical assets?,,,,,,,,,,,,,,,
,,Is AI used to optimize backup schedules during off-peak windows?,,,,,,,,,,,,,,,
,,Are corrupted or failed media automatically flagged and isolated by AI?,,,,,,,,,,,,,,,
,,"Does AI identify and recommend/auto-rightsize underutilized or redundant resources (compute, memory, storage, DB instances) for cost optimization?",,,,,,,,,,,,,,,
,,Are GenAI tools used to generate tagging and strategies and naming conventions?,,,,,,,,,,,,,,,
,,Are cost spikes detected using AI models that baseline normal usage?,,,,,,,,,,,,,,,
,,Are multi-cloud traffic patterns analyzed using ML for optimization?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Event Management,"Does AI perform real-time correlation and deduplication of alerts, logs, and events across various sources (e.g., servers, databases, networks, SIEM, NMS)?",,,,,,,,,,,,,,,
,,"Is GenAI used to summarize abnormal behavior or critical events (e.g., performance issues, cost spikes, downtimes) into concise alerts?",,,,,,,,,,,,,,,
,,"Does AI detect and auto-suppress repetitive alerts (e.g., for backup failures or other anomalies)?",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Incident Management,"Are incidents (across server, DB, storage, cloud, backup) automatically categorized, classified, and triaged using AI?",,,,,,,,,,,,,,,
,,"Does GenAI provide suggested resolution steps or remediation actions for various incident types (e.g., server errors, SQL tuning, storage issues, backup failures, cloud resource fixes)?",,,,,,,,,,,,,,,
,,Are repetitive incident patterns or recurring issues flagged using ML for deeper problem analysis?,,,,,,,,,,,,,,,
,,Is impact analysis of outages (across all domains) assisted by AI?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Problem Management,Are RCA reports for server failures auto-drafted using GenAI?,,,,,,,,,,,,,,,
,,"Does AI/ML detect, cluster, and flag chronic or repeating issues (e.g., hardware faults, OS-level problems, DB slowdowns, storage issues, backup errors, cross-region problems) for root cause analysis?",,,,,,,,,,,,,,,
,,Is a knowledge base (KB) for known errors and resolutions enhanced or curated using AI?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Change Management,"Is AI used to assess the impact and risk of proposed changes (e.g., patches, reboots, schema changes, configuration updates, storage modifications, backup policy changes, IaC deployments)?",,,,,,,,,,,,,,,
,,Does GenAI assist with rollback planning and recommend test plans based on historical change outcomes?,,,,,,,,,,,,,,,
,,Does AI detect unauthorized changes and validate proposed changes against historical incident data?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Request Fulfillment,"Are various service requests (e.g., access, configuration, provisioning, expansion, backup, restore) automatically routed and processed via AI workflows?",,,,,,,,,,,,,,,
,,Is GenAI used to generate provisioning scripts?,,,,,,,,,,,,,,,
,,"Are approval processes for requests triggered or recommended based on AI policies, and are fulfillment/escalation workflows managed by AI?",,,,,,,,,,,,,,,
,,Does GenAI generate scripts for provisioning test databases?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Configuration Management,"Does AI validate CMDB entries, detect missing/outdated configuration items, and identify inconsistencies or misconfigurations across servers, databases, storage, and cloud environments?",,,,,,,,,,,,,,,
,,"Does GenAI assist in visualizing dependencies and enriching CMDB mappings (e.g., for servers, storage infrastructure)?",,,,,,,,,,,,,,,
,,Are DB version upgrades validated for compatibility using ML?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Release Management,"Are releases and deployments (e.g., servers, databases, firmware, backup agents) validated and benchmarked post-release using AI-based success metrics?",,,,,,,,,,,,,,,
,,Are rollback triggers auto-detected using AI behavior analysis?,,,,,,,,,,,,,,,
,,"Is GenAI used to draft release plans (e.g., DB upgrades, patches) and generate documentation for CI/CD releases?",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Asset Management,"Does AI predict hardware failures, manage asset lifecycle, and forecast replacement/depreciation needs?",,,,,,,,,,,,,,,
,,"Does AI optimize resource utilization, identify unused resources, and suggest optimizations for licensing (e.g., DB) and cloud spend?",,,,,,,,,,,,,,,
,,Is backup media lifecycle predicted or optimized using AI?,,,,,,,,,,,,,,,
,,Is cloud spend optimized using AI-based usage analysis?,,,,,,,,,,,,,,,
Security,Core Activities,"Are threat behaviors (e.g., lateral movement, beaconing) detected using ML?",,,,,,,,,,,,,,,
,,Are false positives/negatives from alerts reviewed and auto-suppressed based on AI feedback? ,,,,,,,,,,,,,,,
,,"Is Gen-AI or ML-based tools are used to write or tune detection queries (e.g. for EDR, SIEM, firewall logs)?",,,,,,,,,,,,,,,
,,Are IOC enrichments and correlation handled using AI models/tools for clustering and analyzing security events or IOC patterns?,,,,,,,,,,,,,,,
,,"Is AI used for threat detection (e.g. malware behaviour, phishing detection)?",,,,,,,,,,,,,,,
,,Are phishing or spam patterns clustered and blocked by AI?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Event Management,Are threat events correlated using ML-based threat intelligence?,,,,,,,,,,,,,,,
,,Are anomalies in security logs detected by AI?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Incident Management,Does AI play a role in scoring the severity or likelihood of a threat?,,,,,,,,,,,,,,,
,,Are AI-generated threat scores used to prioritize SOC alerts?,,,,,,,,,,,,,,,
,,Are AI recommendations used to drive SOAR playbook or incident escalations?,,,,,,,,,,,,,,,
,,"Are automated remediation actions triggered by AI (e.g., isolating endpoints)?",,,,,,,,,,,,,,,
,,Does human-in-the-loop validations exists before executing AI-based security actions?,,,,,,,,,,,,,,,
,,Are Automated validations done before executing AI-based security actions?,,,,,,,,,,,,,,,
,,Is GenAI used to create incident reports or analyst summaries?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Problem Management,Are repeated threat types grouped by ML to detect underlying issues?,,,,,,,,,,,,,,,
,,Does AI helps to generate threat intelligence reports or post-incident reviews (PIR)?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Change Management,Are security policy changes analyzed for coverage impact via AI?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Configuration Management,Are endpoint or SIEM config gaps flagged using AI?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Release Management,Are patching or AV updates validated using threat reduction metrics?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Asset Management,Are endpoint health and compliance evaluated by AI?,,,,,,,,,,,,,,,
End-user Computing & Service De,Core Activities,"Are endpoint health metrics (CPU, RAM, disk) monitored with anomaly detection AI?",,,,,,,,,,,,,,,
,,Are patch deployment issues automatically flagged and resolved via AI workflows?,,,,,,,,,,,,,,,
,,Is AI used to detect software licensing violations or blacklisted apps?,,,,,,,,,,,,,,,
,,"Is GenAI used to generate local device scripts (e.g., registry tweaks, policy settings)?",,,,,,,,,,,,,,,
,,Are driver or compatibility issues flagged using AI pattern matching?,,,,,,,,,,,,,,,
,,Are failed OS image deployments diagnosed with GenAI-generated logs?,,,,,,,,,,,,,,,
,,"Are support tool (e.g., ITSM platform) configurations analyzed by AI for inefficiencies?",,,,,,,,,,,,,,,
,,Is AI used to identify unused or duplicate service catalog items?,,,,,,,,,,,,,,,
,,Is GenAI used to generate knowledge base articles from historical ticket data?,,,,,,,,,,,,,,,
,,Are SLA violations predicted using AI volume/priority models?,,,,,,,,,,,,,,,
,,Are escalation paths optimized using AI recommendations?,,,,,,,,,,,,,,,
,,Are Wi-Fi heatmaps or signal issues predicted using AI analytics?,,,,,,,,,,,,,,,
,,Are network topology diagrams auto-generated or validated with GenAI?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Event Management,Are endpoint events filtered or clustered by AI?,,,,,,,,,,,,,,,
,,Are AI bots summarizing repeated issues from event trends?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Incident Management,Are end-user tickets triaged and assigned using AI?,,,,,,,,,,,,,,,
,,Is GenAI used in L1 virtual assistants (chatbots) to resolve issues?,,,,,,,,,,,,,,,
,,Are chatbots or GenAI used for incident resolution at L0/L1?,,,,,,,,,,,,,,,
,,Is sentiment analysis used to prioritize user-reported issues?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Problem Management,Are high-volume user issues flagged by ML pattern detection?,,,,,,,,,,,,,,,
,,Are major recurring themes auto-detected from incidents?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Change Management,Are changes to end-user policies assessed for impact using AI?,,,,,,,,,,,,,,,
,,Are service desk changes to workflows assessed using AI?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Request Fulfillment,Are software install or access requests fulfilled via AI workflows?,,,,,,,,,,,,,,,
,,Are catalog requests fulfilled or auto-approved via AI?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Configuration Management,Are endpoint configurations validated for compliance by AI?,,,,,,,,,,,,,,,
,,Are CMDB updates suggested from service desk interactions?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Release Management,Are OS/software updates assessed for success rates via AI?,,,,,,,,,,,,,,,
,,Are release notes or knowledge base articles generated by GenAI?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Asset Management,Is hardware refresh need predicted using AI?,,,,,,,,,,,,,,,
,,Are device health reports summarized by GenAI?,,,,,,,,,,,,,,,
,,Are lost/retired assets flagged by AI via service desk logs?,,,,,,,,,,,,,,,
Data & Analytics,Requirements & Discovery Phase,"AI used for Data Discovery , eg (existing excel File Summary , Databases , Transactional & legacy System DB , other Enterprises Application data availability )",,,,,,,,,,,,,,,
,,"AI Used for Design Generation/ Validation, Major System integrations diagrams ",,,,,,,,,,,,,,,
,,"AI Used for Data Classifications, Schema Diagram, data Profiling,   Data Architecture  Solution , Schema drift (tools,  flow charts)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Data Preparation,  Migrations , Source & target Data Identifications","Are AI-driven tools used for data Source Connection, Scheme evolvement / enrichments",,,,,,,,,,,,,,,
,,"Is AI used for automated data labelling or annotation, Source & Target Data rules / schema validations ",,,,,,,,,,,,,,,
,,AI Used for Data Quality Monitoring or Anomaly Detection in Datasets,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Development Data Pipeline, Migrations & Visualization / Reporting","AI Used for Code Generation or writing Flow or code notebooks / ETL packages (eg., generating boilerplate, functions, Notebooks, Scripts, ETL flow)",,,,,,,,,,,,,,,
,,AI Used for Code Completion/ Suggestion/ Static Code Analysis / third party tool enforcement / Any external Code Generator or Refiner (beyond standard IDE features),,,,,,,,,,,,,,,
,,AI Used for Code Refactoring/ Optimization / Performance tuning features,,,,,,,,,,,,,,,
,,"AI used for Creating reports , Visualization, Dashboard or any data modelling ",,,,,,,,,,,,,,,
,,"AI Used for new data addition , Changes , Export data from Datasets tracking & audits log creations",,,,,,,,,,,,,,,
,,Any AI tool for Data Governance Policy setup / enforcements ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Testing & Documentations ,"AI Used for Test Case Generation / Automation (e.g., from requirements, code)",,,,,,,,,,,,,,,
,,"AI Used for Test Data Generation for flows, Scripts , notebooks, Packages",,,,,,,,,,,,,,,
,,AI Used for Performance & Data Quality  Testing Analysis,,,,,,,,,,,,,,,
,,"AI used to create Data Dictionary document creations (Database , lake house object description & use) or AI Used for Documentation Generation from Code (e.g., code docs,)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Alerts & Notifications ,"Is Any AI Used for Alerts or Notification for Job runs / schedulers , Monitor Tools , Report Delivery , Job orchestration tools",,,,,,,,,,,,,,,
,,Is any automation for cycle of data ingestions & quality check with Runbooks  with RCA  (for high level issue resolutions),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Deployment,  Job Maintenance,  Support Phase",AI Used for Automated Deployment Pipelines/ CI/ CD Enhancement,,,,,,,,,,,,,,,
,,AI Used for Infrastructure cost management / any tools for monitoring it / Cost Optimization tools,,,,,,,,,,,,,,,
,,"AI used for Auto tuning of data pipeline, Jobs wrt execution of jobs /pipelines over the period of time",,,,,,,,,,,,,,,
,,AI Used for Log Analysis/ Log generations/ Insights Generation,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Governance, Risk & Compliance (GRC)","Are AI tools used for compliance checks or automated governance audits  or access Policy (eg., security, data privacy)?",,,,,,,,,,,,,,,
