Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Notes and Evidence
19,Identity,Identity & Access Management,Control of user/device access to network resources,No identity controls,"Basic user accounts, weak access policies",Standardized IAM with role-based access,Centralized IAM with MFA and audits,"Zero-trust, adaptive IAM with continuous verification",4,
20,Firmware,Firmware Management,Updating and maintaining device firmware,No updates tracked,Ad hoc updates,Documented firmware update process,Automated firmware updates with compliance,Predictive firmware lifecycle management with zero downtime,4,
21,Physical Security,Physical Security Controls,Measures to protect physical network assets,No controls,Basic locks and restricted access,Documented physical security policies,"Integrated monitoring (CCTV, access logs)","Smart, automated physical security with predictive alerts",4,
22,Security,Firewall & ACL Management,Control and enforcement of access policies,"Manual rules, reactive changes","Basic ACLs, inconsistently applied",Documented firewall/ACL policies,Automated enforcement with centralized management,AI-driven adaptive policies with predictive threat blocking,4,
,PROCESS,,,,,,,,,
23,Performance,SLA Compliance,Adherence to defined service level agreements,No SLAs defined,"Informal SLAs, rarely tracked",SLAs documented and tracked,SLA targets consistently met,SLA compliance automated with zero breaches,5,
24,Reporting,Metrics & Analytics,Quality and frequency of reporting on network KPIs,No metrics tracked,Ad hoc metrics collection,Regular reporting with dashboards,Metrics-driven decision making,Real-time predictive analytics,5,
25,Onboarding/Offboarding,Device Lifecycle Process,Standard process for adding/removing devices,"Manual, undocumented","Basic checklist, inconsistently applied",Documented onboarding/offboarding workflows,Automated workflows with audit trails,"Fully automated, policy-driven lifecycle management",5,
26,Change Mgmt,Change Success Rate,Percentage of successful changes without incident,No formal process,"Informal approvals, inconsistent success",Documented change process with metrics,High success rate with formal exception handling,Zero-touch change management with continuous improvement,5,
27,Incident Mgmt,MTTR (Mean Time to Repair),Average time to resolve network incidents,No tracking; resolution ad hoc,MTTR tracked inconsistently,MTTR tracked and reported regularly,MTTR optimized with proactive detection,MTTR minimized via automation & AI-driven remediation,5,
28,Problem Management,Root Cause Analysis & Prevention,"Ability to identify, analyze, and prevent recurring network problems",No RCA performed; issues handled reactively,Informal RCA performed inconsistently,Documented RCA process with problem records maintained,Proactive problem management with trend analysis and mitigation,Predictive problem management with AI-driven prevention and continuous improvement,5,
29,Incident Mgmt,Proactive Cases,Analysis of incident trends and number of incident reduction.,No proactive analysis in place,Occasional manual review of incident logs to identify recurring issues,Scheduled weekly/monthly reviews of performance trends and log data to identify potential risks.,Automated tools flag anomalies and generate proactive maintenance tickets before users are impacted,AI-driven predictive analytics identify and resolve potential failures autonomously (AIOps).,5,
30,SOP Creation,Standard Operating Procedure (SOP) Development & Maintenance,"Ability to create, document, and maintain standardized operating procedures for network operations",No SOPs; tasks performed manually and inconsistently,"Basic SOPs exist but are incomplete, outdated, or inconsistently applied","SOPs standardized, documented, and regularly updated; compliance tracked.","SOPs integrated into workflows, audited, and aligned with governance standards","Fully automated SOP lifecycle with continuous improvement, AI-driven updates, and industry benchmarking",5,
,PEOPLE,,,,,,,,,
31,Skills & Certification,% Certified Personnel,% of certified professionals for network technologies,No certified staff,Few certified individuals,Majority of staff certified in core technologies,Certifications maintained and updated regularly,"Continuous upskilling with advanced, multi-domain certifications",3,
32,User Experience,Customer Satisfaction Score,% of users rating service 4/5 or higher,No measurement,Ad hoc feedback,Regular surveys and reporting,Continuous improvement based on feedback,Real-time sentiment analysis with proactive improvements,3,
