Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Notes and Evidence
9,Capacity and Performance,Concurrent Session Headroom,"Available capacity headroom for concurrent user sessions above the observed peak load, expressed as a % buffer above peak demand.",Session capacity unknown. Environment regularly hits capacity limits. Users unable to connect.,Capacity tracked manually. Headroom below 10% above peak. Load spikes cause failures.,Session capacity monitored. Between 10-20% headroom maintained. Monthly capacity reviews.,Between 20-30% headroom maintained. Automated scaling triggers. Capacity forecasting in place.,More than 30% headroom. Auto-scaling via MCS or Citrix Autoscale responds to demand. Predictive scaling.,4,
10,Capacity and Performance,VDA CPU and Memory Utilisation per Session,"Average CPU and memory consumed per active Citrix session on each VDA, used to validate VM sizing and detect resource contention.",Per-session resource utilisation not tracked. VDA sizing not optimised. Performance complaints frequent.,Utilisation tracked at host level only. No per-session data. VDAs frequently exceed 85% CPU.,Per-session metrics collected via Director or monitoring tool. Sizing guidelines defined.,Per-session CPU below 30% and memory below 2GB on average. Right-sizing reviews quarterly.,Automated right-sizing recommendations. Per-session SLAs enforced. Anomalous sessions auto-terminated.,4,
,SECURITY AND COMPLIANCE,,,,,,,,,
11,Security and Compliance,VDA OS and Citrix Version Compliance,% of Virtual Delivery Agents running an OS version and Citrix VDA software version within supported lifecycle and within the approved patch currency window.,VDA versions not tracked. Mix of EOL OS and outdated Citrix versions in production.,Version inventory exists but more than 20% of VDAs on unsupported or EOL versions. No roadmap.,Inventory maintained. Patch currency tracked. Between 5-20% behind. Upgrade plan in place.,Less than 5% on unsupported versions. Patch pipeline automates VDA updates via MCS image refresh.,100% on supported versions. Image refresh automated. Zero EOL VDAs. Compliance dashboards in real time.,4,
12,Security and Compliance,Session Recording Coverage,"% of privileged user, high-risk application, and regulated-environment Citrix sessions recorded via Citrix Session Recording for audit and forensic purposes.",No session recording. No audit trail of user activity within Citrix sessions.,Session recording deployed but used only for incident investigation. No formal policy.,Recording policy defined for privileged users. More than 60% of target sessions recorded.,More than 90% of defined high-risk sessions recorded. Recordings indexed and searchable.,100% coverage for all defined policies. AI-based activity detection. Forensic-grade storage.,4,
13,Security and Compliance,Endpoint Analysis Policy Enforcement,"% of Citrix remote access connections subject to Endpoint Analysis scans validating device compliance such as AV status, OS patch level, and domain membership before granting session access.",No EPA configured. All devices can connect regardless of security posture.,EPA deployed but not enforced. Scan results not used to control access.,EPA enforced for external and remote connections. Non-compliant devices restricted to quarantine.,EPA enforced for all connections. Policies updated to match current compliance requirements.,EPA enforced with adaptive access. Non-compliant devices auto-remediated or blocked. Logs feed SIEM.,4,
,PROFILE AND WORKSPACE MANAGEMENT,,,,,,,,,
14,Profile and Workspace Management,Profile Load Time,Time taken to load a user profile including FSLogix container mount or UPM profile sync as part of the overall logon process. Target is below 15 seconds for the profile loading component.,Profile load time not measured. Profiles bloated and unmanaged. Logon storms common.,Profile load often exceeds 60 seconds. No size limits. Profiles stored on overloaded file servers.,Profile load between 15-60 seconds. FSLogix or UPM deployed. Basic size limits enforced.,Profile load below 15 seconds. FSLogix ODFC containers on high-performance storage.,Profile load below 5 seconds. Containers on NVMe or all-flash storage. Pre-load technology. Zero profile corruption.,3,
15,Profile and Workspace Management,FSLogix and Profile Container Health,"% of FSLogix profile or Office Container attach operations that succeed without error, and % of containers within defined size limits.",FSLogix not deployed. Roaming profiles or no profiles in use. Frequent corruption.,FSLogix deployed but not monitored. Container attach failures occur daily. No size limits.,FSLogix health monitored. Attach success rate above 90%. Size alerts configured.,Attach success above 97%. Sizes within policy. Failed attaches auto-remediated.,More than 99% attach success. Automated container health checks. Bloated containers auto-alerted. Zero data loss.,3,
,OPERATIONAL PRACTICES,,,,,,,,,
16,Operational Practices,Golden Image Currency,"Age and patch state of the Citrix master image used to provision VDAs via MCS or PVS, measured by time since last update and patch coverage.",No golden image process. VDAs built manually. Images months out of date.,"Golden image updated infrequently, more than 3 months old. Manual update process. Testing minimal.",Image updated monthly. Patches included. Basic functional testing before deployment.,Image updated with each patch cycle. Automated build pipeline. Smoke tests run pre-deployment.,"Image fully automated. CI/CD pipeline builds, patches, tests, and deploys images. Zero manual steps.",3,
17,Operational Practices,Power Management Policy Compliance,"% of non-persistent VDA machines governed by Citrix Autoscale or equivalent power management policies, ensuring machines are drained and shut down during off-peak hours to reduce infrastructure costs.",No power management. All VDAs powered on 24/7. Significant resource and cost waste.,Power management partially configured. Many VDAs run overnight unnecessarily.,Autoscale configured for most delivery groups. Off-peak capacity reduced by more than 40%.,Autoscale optimised per delivery group schedule. Cost savings tracked and reported.,Autoscale with dynamic scaling. ML-based demand prediction. Cost optimisation reported monthly.,3,
18,Operational Practices,SSL Certificate Compliance,"SSL certificates are installed on the delivery controllers, storefront servers, FSLogix and Netscaler devices for secure communication.",No monitoring of SSL certificates expiry and expiry alerts not configured,Partial monitoring of SSL certificate expiry installed in the servers,Alerts configured through monitoring tool for 75% of the servers prior to the expiration date,Expiry dates are properly tracked through alerts and certificate renewal is done 30 days prior to the expiry date.,Expiry dates are properly tracked through alerts for 100% of all servers and certificate renewal is done 30 days prior to the expiry date. All information documented and reported weekly.,3,
