Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Notes and Evidence
8,Identity and Access,Centralised Authentication Coverage,"% of Linux servers authenticating users via a centralised identity provider such as Active Directory via SSSD, FreeIPA, or LDAP rather than local accounts.",All authentication via local accounts. No centralised IAM for Linux.,Centralised auth partially deployed. More than 30% of servers still on local-only accounts.,Centralised auth on more than 70% of servers. Local accounts documented and minimised.,More than 95% of servers use centralised auth. Local accounts limited to break-glass only.,"100% centralised auth. Break-glass accounts vaulted in PAM. Full joiners, movers, leavers integration.",4,
,PERFORMANCE AND AVAILABILITY,,,,,,,,,
9,Performance and Availability,System Uptime and Availability,"% of scheduled uptime during which Linux servers are available and fully operational, excluding planned maintenance.",No uptime monitoring. Availability unknown. Outages discovered by users.,Basic ICMP monitoring. Approximately 95% availability. No SLA. Reactive incident management.,"Agent-based monitoring via Nagios, Zabbix, or Prometheus. Availability tracked versus SLA. Targeting 99%.",99.5% availability. Automated alerting and on-call integration. Capacity planning active.,99.9% or higher availability. Predictive monitoring. Automated failover. Proactive capacity management.,3,
10,Performance and Availability,NTP Synchronisation Compliance,"% of Linux servers synchronised to an authoritative NTP source, with time drift within acceptable thresholds of less than 1 second.",No NTP policy. Servers use default or no NTP. Time drift is common and unmonitored.,NTP configured on most servers but not monitored. Drift detected reactively.,NTP compliance tracked. More than 85% of servers within drift threshold. Alerts on failures.,More than 98% NTP compliance. Monitoring automated. Drift alerts trigger auto-remediation.,100% NTP compliance. Chrony or NTPsec enforced via configuration management. Zero drift incidents.,3,
,CONFIGURATION AND AUTOMATION,,,,,,,,,
11,Configuration and Automation,IaC and Config Management Coverage,"% of Linux servers managed via Infrastructure-as-Code or configuration management tools such as Ansible, Puppet, Chef, or Salt, ensuring consistent and auditable configuration.",All servers built and managed manually. No configuration management tooling.,Configuration management tools deployed but used inconsistently. Less than 40% of estate managed.,Between 40-75% of estate managed via IaC. Playbooks or modules for common tasks.,Between 75-95% managed via IaC. Drift detection integrated. Changes via code review pipeline.,More than 95% managed via IaC. Immutable infrastructure model. GitOps workflow. Full audit trail.,3,
12,Configuration and Automation,Configuration Drift Rate,% of Linux servers whose actual configuration deviates from the approved IaC-defined baseline at any given time.,No baseline defined. Configuration state is unknown.,Baseline documented but drift not measured. Manual periodic audits only.,Drift monitored on more than 70% of estate. Reports generated. Remediation is manual.,Drift detected automatically. Below 5% drift rate. Auto-remediation for approved deviations.,Below 1% drift rate. Real-time detection. Auto-remediation within minutes. Full change audit log.,3,
,OPERATIONAL PRACTICES,,,,,,,,,
13,Operational Practices,Log Centralisation Coverage,"% of Linux servers forwarding system, application, and security logs to a centralised logging platform such as a SIEM, ELK stack, or Splunk.",No central log collection. Logs stored locally only. No visibility.,Less than 60% of servers forwarding logs. Coverage inconsistent. Log format not standardised.,Between 60-85% of servers centralised. Common log format adopted. Basic alerting in place.,More than 95% log centralisation. Log retention policy enforced. Alerting rules defined.,100% centralisation. Structured logging. Real-time correlation. SIEM fully integrated.,4,
14,Operational Practices,Backup Coverage and Recovery Testing,"% of Linux servers included in a backup schedule, combined with frequency of successful recovery tests validating restore capability.",No backup policy for Linux servers. Data loss risk unmanaged.,Backups configured but not monitored. Recovery never tested. Less than 80% of servers covered.,Backup coverage above 85%. Success rate monitored. Recovery tested once per year.,Coverage above 98%. Backup success rate above 98%. Recovery tested quarterly. RTO and RPO defined.,More than 99% coverage. Automated recovery validation. Immutable backups. RTO and RPO tested monthly.,4,
