Provider,Sr. No,Category,Parameter / KPI,Definition,Level 1 - Ad Hoc,Level 2 - Developing,Level 3 - Defined,Level 4 - Managed,Level 5 - Optimized,Your Score (1-5),Min Required Score (1-5),Notes and Evidence
AWS,86,Monitoring,APM,"Monitoring of application performance, user experience, and dependency health across services",None,Metrics,APM enabled,Full APM,AI optimization,4,,
AWS,87,Monitoring,Capacity Mgmt,Monitoring and forecasting of resource utilization to ensure optimal performance and cost efficiency.,None,Basic,Defined,Predictive,AI-driven,4,,
AWS,88,Monitoring,SLO/SLA,Definition and tracking of service reliability objectives and agreements for performance assurance.,None,Basic SLA,Defined,Monitored,Automated,5,,
AWS,89,Cost,Visibility,"Ability to monitor, analyze, and report cloud costs across accounts and services",None,Billing,Dashboard,Budget alerts,AI optimization,4,,
AWS,90,Cost,Rightsizing,Optimization of resource allocation to align with actual workload usage and reduce waste.,None,Manual,Partial,Automated,Fully optimized,4,,
AWS,91,Cost,Savings Plans,Use of pricing models such as reserved instances or savings plans to reduce long-term costs.,None,Minimal,Partial,Optimized,Fully optimized,3,,
AWS,92,Cost,FinOps Maturity,Organizational capability to manage and optimize cloud costs through governance and collaboration practices.,None,IT only,Shared,Org-wide,Automated,4,,
AWS,93,DevOps,CI/CD,"Automation of build, test, and deployment pipelines for consistent and reliable software delivery.",Manual,Partial,Full,Automated,GitOps,4,,
AWS,94,DevOps,IaC,Use of infrastructure as code to provision and manage cloud resources in a repeatable manner.,None,Scripts,Terraform,Modular,Policy-driven,5,,
AWS,95,DevOps,Code Repo Governance,"Management of source code repositories with access control, versioning, and audit capabilities.",None,Basic,Branching,PR enforced,Full governance,5,,
AWS,96,DevOps,Code Security,Integration of security scanning and vulnerability detection into the code development lifecycle.,None,Manual,Automated,Integrated,Continuous,5,,
AWS,97,DevOps,Artifact Security,Ensuring integrity and security of build artifacts and container images throughout the pipeline.,None,Basic,Scanning,Policy enforced,Signed artifacts,4,,
AWS,98,DevOps,Secrets in CI/CD,Secure handling and management of sensitive data within CI/CD pipelines without exposure.,Hardcoded,Masking,Secure store,Vault integration,Auto rotation,5,,
AWS,99,Governance,AWS Organizations,Structuring and management of AWS accounts using organizational units and centralized governance.,None,Basic,Defined,Multi-account,Automated,5,,
AWS,100,Governance,Tagging,"Standardized labeling of resources for cost tracking, automation, and governance purposes.",None,Inconsistent,Standard,Enforced,Automated,4,,
AWS,101,Governance,Policy,Enforcement of organizational controls using service control policies across accounts.,None,Basic,Defined,Enforced,Auto remediation,5,,
AWS,102,Governance,Compliance Reporting,Automated generation of compliance and audit reports for governance and regulatory needs.,Manual,Basic,Scheduled,Automated,Real-time,5,,
AWS,103,DR,RTO/RPO,Defined targets for system recovery time and acceptable data loss during failures or disasters,None,Defined,Implemented,Tested,Automated,5,,
AWS,104,DR,High Availability,Design of systems to ensure continuous operation with minimal downtime across zones or regions.,None,Basic,Multi-AZ,Multi-region,Active-active,5,,
AWS,105,DR,DR Testing,Regular validation of disaster recovery processes to ensure effectiveness and readiness.,Never,Rare,Annual,Quarterly,Automated,4,,
AWS,106,DR,Failover Automation,Regular validation of disaster recovery processes to ensure effectiveness and readiness.,Manual,Partial,Defined,Automated,Self-healing,5,,
GCP,107,IAM,MFA Coverage,Percentage of user identities protected with multi-factor authentication across all access methods.,No MFA,Optional MFA (<50%),MFA for admins & 70% users,MFA for >95% users,100% + passwordless,,,
GCP,108,IAM,IAM Role Management,Assignment and enforcement of permissions using predefined and custom roles following least privilege principles.,Admin access,Basic roles,RBAC defined,Least privilege enforced,Auto least privilege,,,
GCP,109,IAM,Privileged Access,Control and monitoring of elevated access using temporary privileges and audit mechanisms.,Shared access,Named users,Role-based access,JIT access,Fully automated privilege mgmt,,,
GCP,110,IAM,Identity Federation,Integration with external identity providers for centralized authentication and access control.,No federation,Basic SSO,SSO for key apps,Org-wide SSO,Risk-based access,,,
GCP,111,IAM,Service Account Management,Governance and secure usage of service accounts including key rotation and least privilege enforcement.,Static keys,Manual control,Managed accounts,Automated rotation,Keyless / short-lived tokens,,,
GCP,112,Security,Security Command Center Score,Overall security posture measured using findings and recommendations from Google Cloud Security Command Center.,Not tracked,<40%,40-70%,70-90%,>90% + auto fix,,,
GCP,113,Security,Vulnerability Mgmt,"Continuous detection and remediation of vulnerabilities across compute, containers, and applications.",None,Manual scans,Scheduled scans,Continuous scans,Auto remediation,,,
GCP,114,Security,Secrets Management,"Secure storage, access, and rotation of secrets using centralized secret management services.",Hardcoded secrets,Partial usage,Centralized,Full governance,Auto rotation + audit,,,
GCP,115,Security,Zero Trust,Implementation of identity-aware access controls ensuring verification of every request regardless of network location.,None,Basic controls,Partial Zero Trust,Org-wide Zero Trust,Fully adaptive,,,
GCP,116,Security,SIEM Integration,Centralization and correlation of logs into a SIEM platform for threat detection and response.,None,Partial logs,Central logging,Correlated alerts,AI-driven detection,,,
GCP,117,Networking,VPC Architecture,"Design and segmentation of virtual networks using projects, subnets, and shared VPCs.",Flat network,Basic VPC,Segmented,Multi-tier,Zero Trust,,,
GCP,118,Networking,Private Access,Use of private connectivity such as Private Service Connect to access services without public exposure.,Public access,Partial private,Most private,Fully private,No public exposure,,,
GCP,119,Networking,Firewall Rules,Enforcement of network traffic control using firewall rules and hierarchical policies.,No firewall,Basic rules,Standard rules,Centralized firewall,Full inspection,,,
GCP,120,Networking,DDoS Protection,Capability to detect and mitigate distributed denial-of-service attacks using GCP protection mechanisms.,None,Basic,Standard,Advanced,Automated mitigation,,,
GCP,121,Networking,Egress Control,Restriction and monitoring of outbound traffic to prevent unauthorized data transfer.,None,Basic,Defined rules,Firewall enforced,Zero Trust egress,,,
GCP,122,Compute,Deployment,Level of automation and standardization in deploying applications and infrastructure.,Manual,Scripts,CI/CD,Automated,GitOps,,,
GCP,123,Compute,Container Maturity,Adoption and operational maturity of container platforms such as Google Kubernetes Engine (GKE).,None,Basic containers,GKE deployed,Scaled GKE,Auto-optimized,,,
GCP,124,Compute,Auto Scaling,Capability to dynamically adjust compute resources based on workload demand.,None,Manual,Basic autoscale,Dynamic autoscale,Predictive scaling,,,
GCP,125,Compute,Image Management,Standardization and lifecycle management of machine images for consistent deployments.,Manual images,Basic images,Golden images,Automated pipeline,Immutable images,,,
GCP,126,Storage,Backup Coverage,Extent to which data and workloads are protected through reliable and consistent backup mechanisms.,None,Partial,Scheduled backups,Automated backups,Immutable backups,,,
GCP,127,Storage,Encryption,Protection of data using encryption at rest and in transit with managed key services.,None,Partial,At-rest encryption,At-rest + transit,CMEK + rotation,,,
GCP,128,Storage,Data Classification,Categorization of data based on sensitivity and business impact for governance and compliance.,None,Manual,Defined,Automated,AI classification,,,
GCP,129,Storage,Data Access Auditing,Monitoring and auditing of access to data resources for security and compliance purposes.,None,Logs,Central logs,Alerts,Full audit automation,,,
GCP,130,Storage,Lifecycle Management,"Management of data retention, archival, and deletion using defined lifecycle policies.",None,Manual,Defined,Automated,Intelligent lifecycle,,,
GCP,131,Monitoring,Logging,"Centralized collection and storage of logs from infrastructure, applications, and services.",None,Partial,Central logs,Correlated logs,AI insights,,,
GCP,132,Monitoring,Alerting,Generation of alerts based on defined thresholds or anomalies in system behavior.,Reactive,Basic alerts,Threshold alerts,Smart alerts,Predictive alerts,,,
GCP,133,Monitoring,Tracing,End-to-end visibility into application request flows and service dependencies.,None,Basic metrics,Cloud Trace,Full tracing,Auto RCA,,,
GCP,134,Monitoring,APM,"Monitoring of application performance, latency, and user experience across services.",None,Basic metrics,APM enabled,Full APM,AI optimization,,,
GCP,135,Monitoring,Capacity Management,Monitoring and forecasting resource utilization to ensure optimal performance and efficiency.,None,Basic tracking,Defined thresholds,Predictive scaling,AI-driven optimization,,,
GCP,136,Monitoring,SLO/SLA,Definition and tracking of service reliability objectives and agreements.,None,Basic SLA,Defined SLO/SLA,Monitored SLO,Automated enforcement,,,
GCP,137,Cost,Visibility,"Ability to track, analyze, and report cloud costs across projects and services.",None,Billing only,Dashboards,Budget alerts,AI optimization,,,
GCP,138,Cost,Rightsizing,Optimization of resource allocation to align with actual usage and reduce waste.,None,Manual,Partial optimization,Automated,Fully optimized,,,
GCP,139,Cost,Commitment Discounts,Utilization of committed use discounts to optimize long-term cost savings.,None,Minimal,Partial,Optimized,Fully optimized,,,
GCP,140,Cost,FinOps Maturity,Organizational capability to manage and optimize cloud costs through governance and collaboration practices.,None,IT driven,Shared ownership,Org-wide,Automated FinOps,,,
GCP,141,DevOps,CI/CD,"Automation of build, test, and deployment pipelines for consistent delivery.",Manual,Partial,Full CI/CD,Automated,GitOps,,,
GCP,142,DevOps,IaC,Use of infrastructure as code tools to provision and manage resources in a repeatable manner.,None,Scripts,Terraform,Modular IaC,Policy-driven IaC,,,
GCP,143,DevOps,Code Repo Governance,"Management of source code repositories with access control, versioning, and audit logging.",None,Basic repo,Branching strategy,PR enforced,Full governance,,,
GCP,144,DevOps,Code Security,Integration of security scanning and vulnerability detection into the development lifecycle.,None,Manual scans,SAST/SCA,Integrated security,Continuous enforcement,,,
GCP,145,DevOps,Artifact Security,Ensuring integrity and security of build artifacts and container images.,None,Basic checks,Scanning,Policy enforcement,Signed artifacts,,,
GCP,146,DevOps,Secrets in CI/CD,Secure handling of secrets within pipelines without exposure or hardcoding.,Hardcoded,Masking,Secure storage,Vault integration,Auto rotation,,,
GCP,147,Governance,Resource Hierarchy,"Structuring of organizations, folders, and projects for centralized governance and control.",None,Basic,Defined,Multi-folder,Automated governance,,,
GCP,148,Governance,Tagging (Labels),"Standardized labeling of resources for cost tracking, governance, and automation.",None,Inconsistent,Standard,Enforced,Automated,,,
GCP,149,Governance,Policy Enforcement,Implementation of organization policies to enforce compliance and operational standards.,None,Basic,Defined,Enforced,Auto remediation,,,
GCP,150,Governance,Compliance Reporting,Automated generation of compliance and audit reports across resources.,Manual,Basic,Scheduled,Automated,Real-time dashboards,,,
GCP,151,DR,RTO/RPO,Defined targets for recovery time and acceptable data loss during failures or disasters.,None,Defined,Implemented,Tested,Automated,,,
GCP,152,DR,High Availability,Design of systems to ensure continuous operation across zones or regions.,None,Basic,Multi-zone,Multi-region,Active-active,,,
GCP,153,DR,DR Testing,Regular validation of disaster recovery processes to ensure effectiveness and readiness.,Never,Rare,Annual,Quarterly,Automated,,,
GCP,154,DR,Failover Automation,Capability to automatically switch workloads to backup systems during failures.,Manual,Partial,Defined,Automated,Self-healing,,,
